"-- All --",--Todos--
"-- First Please Select a Website --","--Por favor seleccione un sitio web--"
"-- No Theme --","-Sin tema--"
"-- None --","-- Ninguno --"
"-- Please Select --","-- Por favor, seleccione --"
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please Select a Category --","--Por favor, seleccione una categoría--"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"-- Select --","-- Seleccione --"
"--Please Select--",--Seleccione--
"Acceptance Mark","Señal de aceptación"
"Acceptance Mark Image","Imagen de señal de aceptación"
Accepted,Aceptado
"Accepted and Purchased","Aceptado y Comprado"
"Accepted Currency","Moneda Aceptada"
"Access denied","Acceso denegado"
"Access Denied.","Acceso denegado."
"Access ID","ID de acceso"
"Access Key",Zugriffsschlüssel
"Access License Number","Número de licencia de acceso"
"Access list","Lista de acceso"
"Access Restriction","Restricción de acceso"
"Access token has been revoked","Token de acceso se ha revocado"
Account,Cuenta
"Account &amp; Shipping Information","Información de Cuenta y Envío"
"Account Activity","Actividad de la cuenta"
"Account already active","Cuenta ya activa"
"Account Created in","Cuenta creada en"
"Account Created in:","Kundenkonto angelegt in:"
"Account Created on (%1):","Cuenta creada en (%1):"
"Account Created:","Cuenta creada:"
"Account Dashboard","Cuenta Panel de control"
"Account ID","ID de cuenta"
"Account Information","Información de la cuenta"
"Account Lock","Bloqueo de cuenta"
"Account Lock:","Bloqueo de cuenta:"
"Account Number","Número de cuenta"
"Account Setting","Configuración de la cuenta"
"Account Sharing Options","Cuenta Opciones para compartir"
"Account Status","Estado de cuenta"
"Account type","Tipo de cuenta"
"Account-to-Account Payment, initiated by PayPal","Pago Cuenta-a-Cuenta, iniciado por PayPal"
"ACH Deposit (Hold for Dispute or Other Investigation)","Depósito ACH (En espera por conflicto u otra investigación)"
"ACH Deposit (Reversal)","Depósito ACH (Revocación)"
"ACH Funding for Funds Recovery from Account Balance","Financiación ACH para recuperación de fondos desde el balance de cuenta"
"ACH Withdrawal","Retirada ACH"
Action,Acción
"Action Group","Grupo de acción"
"Action Log","Registro de acciones"
Actions,Acciones
"actions' 'label","acciones ' etiqueta"
Activate,Activar
Active,Activo
"Active update can not be deleted","No se puede eliminar la actualización activa"
"Actual Children Count","Cuenta real de los hijos"
"Actual Level","Nivel real"
"Actual Price","Precio real"
"Adapter must be an instance of \Magento\ImportExport\Model\Import\AbstractSource","Adaptador debe ser una instancia de \Magento\ImportExport\Model\Import\AbstractSource"
Add,Sumar
"Add \Exception","Añadir \Exception"
"Add after","Hinzufügen nach"
"Add All to Cart","Añadir todo al carrito"
"Add All To Gift Registry","Añadir todo al registro de regalo"
"Add Amount","Agregue una cantidad"
"Add another payment method to your existing solution or as a stand-alone option.","Añada otro método de pago a sus actuales soluciones o como una opción independiente."
"Add Attribute","Añadir atributo"
"Add Attribute Set","Añadir el conjunto de atributos"
"Add Banner","Añadir Banner"
"Add Block Names to Hints","Añadir Nombres de Bloque a los Consejos"
"Add Catalog Event","Agregar evento de catálogo"
"Add CMS Block","Añadir bloque CMS"
"Add Condition","Agregar condición"
"Add configurable attributes to the current Attribute Set (""%1"")","Añadir atributos configurables a la configuración de atributo actual (""%1"")"
"Add configurable attributes to the existing Attribute Set","Añade atributos configurables para el Conjunto de Atributos existente"
"Add configurable attributes to the new Attribute Set based on current","Añadir atributos configurables para el nuevo Conjunto de Atributos basados en el actual"
"Add Cross-Sell Products","Agregue los artículos de venta cruzada"
"Add Date","Añadir fecha"
"Add Design Change","Añadir cambio de diseño"
"Add Details","Añadir detalles"
"Add Event","Añadir evento"
"Add Gift Card","Añadir tarjeta de regalo"
"Add Gift Card Account","Agregar cuenta de tarjeta regalo"
"Add gift options","Añadir opciones de regalo"
"Add gift options for Individual Items","Añadir opciones de regalo para artículos individuales"
"Add Gift Options for the Entire Order","Añadir opciones de regalo para todo el pedido"
"Add Gift Registry Type","Agregar tipo de registro de regalo"
"Add Gift Wrapping","Agregar envoltura de regalo"
"Add Group","Añadir grupo"
"Add Images into Sitemap","Añadir imágenes al mapa del sitio"
"Add Invitations","Añadir invitaciones"
"Add Invitee","Añadir invitado"
"Add Item To Return","Añadir producto a devolución"
"Add Layout Update","Agregar actualización de diseño"
"Add Link","Añadir enlace"
"Add links to your product files here.","Añadir enlaces a tus archivos de producto aquí."
"Add Locale","Agregar configuración regional"
"Add Minimum Qty","Añadir cantidad mínima"
"Add New","Agregar nuevo"
"Add New %1","Añadir %1"
"Add New Address","Agregar nueva dirección"
"Add New Attribute","Añadir nuevo atributo"
"Add New Attribute Set","Nuevo conjunto de atributos"
"Add New Block","Añadir Nuevo Bloque"
"Add New Class","Añadir nueva clase fiscal"
"Add New Condition","Nueva condición"
"Add New Customer","Nuevo cliente"
"Add New Customer Group","Nuevo grupo de clientes"
"Add New Group","Nuevo grupo"
"Add New Image","Añadir nueva imagen"
"Add New Images","Agregar nuevas imágenes"
"Add New Integration","Añadir nueva integración"
"Add New Link","Añadir nuevo enlace"
"Add New Option","Añadir nueva opción"
"Add New Page","Neue Seite"
"Add New Rate","Añadir nueva tarifa"
"Add New Rating","Agregar nueva puntuación"
"Add New Role","Añadir nuevas funciones"
"Add New Row","Agregar nueva fila"
"Add New Rule","Agregar regla"
"Add New Search Term","Añadir nuevo término de búsqueda"
"Add New Tax Class","Añadir nueva clase fiscal"
"Add New Tax Rate","Añadir nueva tasa impositiva"
"Add New Tax Rule","Añadir nueva regla fiscal"
"Add New Template","Agregar Nueva Plantilla"
"Add New URL Rewrite","Añadir nueva reescritura URL"
"Add New User","Añadir nuevo usuario"
"Add New Variable","Agregar nueva variable"
"Add New Warehouse","Añadir nuevo almacén"
"Add Node...","Añadir nodo..."
"Add Option","Agregar opción"
"Add or remove gift cards","Agregar o eliminar tarjetas de regalo"
"Add Package","Añadir paquete"
"Add PayPal as an additional payment method to your checkout page.","Añada PayPal como método de pago adicional a su página de procesos de compra en línea."
"Add Price","Agregar precio"
"Add Printed Card","Añadir tarjeta impresa"
"Add Product","Añadir artículo"
"Add Product by SKU","Añadir artículos por SKU"
"Add product preview files here.","Añadir archivos de vista previa de producto aquí."
"Add Product To Websites","Añadir artículo a sitios web"
"Add Products","Añadir artículos"
"Add Products By SKU","Añadir artículos por SKU"
"Add Products Manually","Agregue manualmente los productos"
"Add Products to Group","Agregar artículos al grupo"
"Add Products to New Option","Añadir artículos a la nueva opción"
"Add Products to Option","Añadir productos a la opción"
"Add Products to Option ""%1""","Añadir artículos a la opción ""%1"""
"Add Products to Order","Añadir artículos al pedido"
"Add Products to Package","Añadir productos al paquete"
"Add Registrant","Añadir Registrante"
"Add Related Products","Añadir artículos relacionados"
"Add Reward Points","Añadir puntos de recompensa"
"Add Root Category","Añadir categoría raíz"
"Add Row","Añadir fila"
"Add Rule","Agregar regla"
"Add Scheduled Export","Añadir exportación programada"
"Add Scheduled Import","Añadir importación programada"
"Add Secret Key to URLs","Añadir clave secreta a direcciones URL"
"Add Segment","Añadir segmento"
"Add Selected","Añadir seleccionado"
"Add selected page(s) to the tree","Añade página(s) seleccionada(s) a el árbol"
"Add Selected Product(s) to Order","Añadir el(los) artículo(s) seleccionado(s) al pedido"
"Add Selected Product(s) to Package","Añadir artículo(s) seleccionado(s) al paquete"
"Add Selected Product(s) to returns","Añadir productos seleccionados a devoluciones"
"Add Selected Products","Añadir productos seleccionados"
"Add selections to my cart","Añadir seleccionados a mi carrito de compras"
"Add Sitemap","Añadir mapa del sito web"
"Add Store Code to Urls","Agregar el código de tienda a las direcciones Url"
"Add Subcategory","Añadir subcategoría"
"Add Swatch","Añadir Muestra"
"Add Tax","Añadir impuestos"
"Add this attribute to the list of column options in the product grid.","Añadir este atributo a la lista de opciones de la columna en la cuadrícula de producto."
"Add this attribute to the list of filter options in the product grid.","Añadir este atributo a la lista de opciones de filtro en la cuadrícula de producto."
"Add to Cart","Sumar al carrito"
"Add to Column Options","Añadir a las opciones de columna"
"Add to Compare","Comparar"
"Add to Gift Registry","Agregar registro de regalo"
"Add to Order","Añadir al pedido"
"Add To Order","Añadir al pedido"
"Add to Order by SKU","Añadir al pedido por SKU"
"Add to Queue","Añadir a la cola"
"Add to Shopping Cart","Añadir al carrito de compras"
"Add to Shopping Cart by SKU","Añadir al carrito de compras por SKU"
"Add to tree.","Agregar al árbol."
"Add to Wish List","Favoritos"
"Add to:","Añadir a:"
"Add Tracking Number","Añadir código de seguimiento"
"Add Up-Sell Products","Agregue los artículos de venta mejorada"
"Add URL Rewrite","Añadir Reescritura URL"
"Add URL Rewrite for a Category","Añadir la reescritura de URL para una categoría"
"Add URL Rewrite for a Product","Añadir reescritura URL para un producto"
"Add URL Rewrite for CMS page","Añadir la reescritura de URL para la página CMS"
"Add Value","Añadir un valor"
"Add Video","Añadir vídeo"
"Add Widget","Añadir Widget"
"Add Your Review","Añadir Su reseña"
Add/Update,Añadir/actualizar
"Add/Update Complex Data","Añadir/actualizar datos complejos"
Added,Añadido
"Added On","Agregado el"
Adding...,Añadiendo...
"Additional Address Entries","Entradas adicionales de direcciones postales"
"Additional Attribute Table","Tabla de atributos adicionales"
"Additional attributes usable in category rules","Atributos adicionales útiles en reglas de categoría"
"Additional Cache Management","Gestión de memoria caché adicional"
"Additional data","Informacion adicional"
"Additional Options","Opciones adicionales"
"Additional Settings","Configuración adicional"
Address,Dirección
"Address %1 <span>of %2</span>","Dirección %1 <span>de %2</span>"
"Address Attributes","Atributos de dirección"
"Address AVS check","Comprobación de dirección AVS"
"Address Book","Libreta de direcciones"
"Address Information","Información de dirección"
"Address is empty.","Dirección está vacía."
"Address Templates","Plantillas para direcciones"
"Address Type",Adressentyp
"Address Verification","Verificación de dirección"
"Address Verification System Response","Respuesta del sistema de verificación de dirección"
Addresses,Direcciones
"Adjust final price to discount value","Ajustar el precio final al valor de descuento"
"Adjust final price to this percentage","Ajustar el precio final a este porcentaje"
"Adjustment Fee","Recargo de una corrección"
"Adjustment Refund","Reembolso de una corrección"
Admin,Administrador
"Admin Account Sharing","Compartir cuenta de administrador"
"Admin Actions Archive","Archivo de acciones de administrador"
"Admin Actions Log","Registro de acciones de administrador"
"Admin Actions Log Archive","Log de las Acciones de Admin"
"Admin Actions Log Archiving","Archivado de registro de acciones de administrador"
"Admin Actions Logging","Registro de acciones de administrador"
